-15 -15 0 0 0.844037 0.797168 0.780822 0.778631 0.780439 0.776191 0.777517 0.776191 
-15 -12 0 0 1.50356 2.33603 2.53741 2.57631 2.56315 2.57631 2.56315 2.56315 
-15 -9 0 0 1.15551 2.82585 4.91491 5.42814 4.82813 4.68717 4.55938 4.55938 
-15 -6 0 0 1.01274 2.57246 4.87099 5.2888 5.0342 4.94477 4.60958 4.8137 
-15 -3 0 0 1.01791 2.57246 4.61201 5.2189 5.0342 4.89855 4.75669 4.60958 
-15 0 0 0 1.01899 2.53839 4.87099 5.42814 4.72952 4.7475 4.55938 4.7475 
-15 3 0 0 1.02421 2.53839 4.62898 5.48455 4.94298 4.68717 4.89855 4.55938 
-15 6 0 0 1.03115 2.57481 4.72361 5.48455 4.98456 4.7475 4.7475 4.60958 
-15 9 0 0 1.0392 2.57246 4.81187 5.2418 4.94477 4.68717 4.89855 4.65062 
-15 12 0.05 0 1.04382 2.60012 4.87099 5.42814 5.09691 4.83936 4.89855 4.7475 
-15 15 0 0 1.0522 2.62813 4.83016 5.2888 5.0342 4.7475 4.60958 4.60958 
-12 -15 0 0.1 0.758667 0.727686 0.720063 0.718111 0.718025 0.718397 0.718397 0.718312 
-12 -12 0 0.1 1.64727 1.86978 1.89856 1.87145 1.90366 1.89575 1.90366 1.87145 
-12 -9 0 0.1 1.70559 3.79776 5.48615 5.45339 4.89679 4.75669 4.55938 4.55938 
-12 -6 0 0.15 1.4782 3.43223 5.47161 5.19012 4.94477 4.89855 4.55938 4.60958 
-12 -3 0 0.15 1.4782 3.53598 5.47161 5.60245 4.94477 4.75669 4.65062 4.7475 
-12 0 0 0.15 1.49497 3.43223 5.34219 5.12492 4.89679 4.68717 4.65062 4.46239 
-12 3 0 0.15 1.50884 3.54193 5.22109 5.19012 4.89679 4.89855 4.65062 4.65062 
-12 6 0 0.15 1.50884 3.54193 5.34219 5.12492 4.76735 4.85842 4.7475 4.60958 
-12 9 0 0.15 1.52307 3.41571 5.47161 5.19012 4.89679 4.68717 4.89855 4.7475 
-12 12 0.05 0.15 1.49455 3.54193 5.47161 5.12492 4.94477 4.83936 4.55938 4.60958 
-12 15 0 0.1 1.53745 3.43846 5.46528 5.03233 4.89679 4.7475 4.89855 4.7475 
-9 -15 0 0.7335 0.692235 0.675507 0.670943 0.670508 0.669377 0.671232 0.670508 0.670508 
-9 -12 0 1.03095 1.47745 1.44627 1.43033 1.41535 1.41596 1.41535 1.41596 1.41596 
-9 -9 0 1.04161 2.42323 4.72361 5.2189 4.94298 4.94477 4.65062 4.60958 4.55938 
-9 -6 0 0.788549 2.07543 4.3531 5.53395 5.03233 4.89679 4.68717 4.7475 4.55938 
-9 -3 0 0.793523 2.07543 4.3531 5.53395 5.0342 4.82984 4.68717 4.7475 4.7475 
