-15 -15 0.05 1.45723 1.63015 1.59912 1.61034 
-15 -12 0.05 1.45915 1.62398 1.6012 1.61691 
-15 -9 0.05 1.45915 1.61701 1.61691 1.6076 
-15 -6 0.05 1.46438 1.62812 1.61691 1.6076 
-15 -3 0.05 1.45723 1.62398 1.59912 1.61034 
-15 0 0.05 1.45723 1.62398 1.59912 1.60592 
-15 3 0.05 1.45723 1.62812 1.6012 1.61691 
-15 6 0.05 1.45915 1.62559 1.61691 1.6076 
-15 9 0.05 1.45723 1.63015 1.61691 1.6076 
-15 12 0.05 1.45915 1.63015 1.6012 1.6076 
-15 15 0.05 1.46438 1.62398 1.59912 1.60592 
-12 -15 0.25 1.53751 1.61254 1.6076 1.6076 
-12 -12 0.25 1.54395 1.62386 1.6012 1.61034 
-12 -9 0.25 1.54358 1.62386 1.6076 1.59912 
-12 -6 0.25 1.54395 1.62559 1.59912 1.59684 
-12 -3 0.25 1.54358 1.62386 1.61691 1.6076 
-12 0 0.25 1.53751 1.61254 1.59912 1.59684 
-12 3 0.25 1.53751 1.62386 1.61691 1.61691 
-12 6 0.25 1.52961 1.61935 1.59912 1.59684 
-12 9 0.25 1.54395 1.62386 1.6076 1.6076 
-12 12 0.25 1.52997 1.62386 1.6076 1.6076 
-12 15 0.15 1.53574 1.61893 1.6076 1.59684 
-9 -15 0.25 1.5595 1.61935 1.6076 1.6076 
-9 -12 0.25 1.57775 1.62386 1.61034 1.60592 
-9 -9 0.25 1.58428 1.60727 1.6076 1.6076 
-9 -6 0.25 1.58456 1.61649 1.61034 1.59684 
-9 -3 0.25 1.58456 1.61935 1.6076 1.6076 
-9 0 0.25 1.58467 1.60727 1.61034 1.59684 
-9 3 0.25 1.58428 1.60959 1.59684 1.6076 
-9 6 0.25 1.58428 1.61649 1.61691 1.60592 
-9 9 0.25 1.58467 1.61935 1.61691 1.60592 
-9 12 0.732568 1.58496 1.61445 1.59684 1.6076 
-9 15 0.728639 1.59357 1.61445 1.6076 1.61034 
-6 -15 0.25 1.58388 1.61935 1.59912 1.6076 
-6 -12 0.748727 1.59427 1.61935 1.6076 1.59912 
-6 -9 0.821071 1.59703 1.6214 1.6076 1.6076 
-6 -6 0.872369 1.59964 1.61 1.61034 1.59684 
-6 -3 0.87571 1.60652 1.61649 1.59684 1.6076 
-6 0 0.87571 1.62023 1.61649 1.59684 1.6076 
-6 3 0.874378 1.60443 1.61 1.6076 1.59684 
-6 6 0.92252 1.60484 1.61 1.6076 1.61034 
-6 9 0.927326 1.60484 1.61691 1.6076 1.61034 
-6 12 0.928881 1.60918 1.61 1.59684 1.6076 
-6 15 1.0369 1.62139 1.61275 1.6076 1.6076 
-3 -15 1.59404 1.62495 1.61 1.59684 1.59684 
-3 -12 0.831365 1.61054 1.61935 1.61691 1.60592 
-3 -9 0.902764 1.60484 1.61 1.61691 1.6076 
-3 -6 1.0017 1.61445 1.61 1.59684 1.61034 
-3 -3 1.0973 1.6242 1.61275 1.6076 1.6076 
-3 0 1.1113 1.62669 1.61691 1.6076 1.6076 
-3 3 1.1658 1.62001 1.6035 1.59912 1.59684 
-3 6 1.1676 1.62462 1.61203 1.59684 1.59684 
-3 9 1.24066 1.6341 1.61691 1.6076 1.6076 
-3 12 1.294 1.62281 1.61691 1.61034 1.6076 
-3 15 1.37098 1.61872 1.6012 1.6076 1.61034 
0 -15 0.578161 1.55016 1.59677 1.6076 1.60592 
0 -12 1.06393 1.59677 1.6076 1.6076 1.61034 
0 -9 2.06682 1.63269 1.61691 1.6076 1.6076 
0 -6 1.17216 1.62001 1.60768 1.59684 1.59684 
0 -3 1.25195 1.62043 1.61691 1.6076 1.6076 
0 0 1.33082 1.62986 1.6035 1.59684 1.6076 
0 3 1.37258 1.62323 1.61691 1.61691 1.6076 
0 6 1.41363 1.61872 1.59912 1.61034 1.6076 
0 9 1.46485 1.62812 1.61691 1.6076 1.60592 
0 12 1.53068 1.61893 1.59912 1.6076 1.6076 
0 15 1.51819 1.61691 1.6076 1.59684 1.61034 
3 -15 0.825372 1.56643 1.59677 1.60592 1.6076 
3 -12 0.949364 1.57065 1.59677 1.59684 1.60113 
3 -9 0.927807 1.56081 1.59677 1.6076 1.59684 
3 -6 1.60777 1.6035 1.6076 1.6076 1.6076 
3 -3 1.45632 1.62398 1.6028 1.59912 1.59684 
3 0 1.47746 1.62559 1.59912 1.60592 1.6076 
3 3 1.52917 1.62559 1.6012 1.6076 1.60592 
3 6 1.56869 1.61935 1.6076 1.6076 1.6076 
3 9 1.59008 1.61 1.6076 1.59912 1.61034 
3 12 1.55568 1.60592 1.6076 1.6076 1.6076 
3 15 1.42667 1.58552 1.60113 1.6076 1.59684 
6 -15 0.937679 1.5732 1.60529 1.59684 1.59684 
6 -12 1.0081 1.57103 1.60529 1.61034 1.59684 
6 -9 1.18282 1.58161 1.6076 1.6076 1.6076 
6 -6 1.20941 1.58625 1.60592 1.6076 1.6076 
