0 0.05 0.05 0 0 0 0 0 1.25947 1.27273 1.28121 0 1.27273 1.26916 1.27273 1.2913 0
1.25797 1.25632 1.25293 1.25242 1.25293 1.25215 1.24986 1.24111 1.2488 1.25164 1.24355 1.24347 1.24571 1.24338 1.24583 1.24347 1
0.655437 0.656035 0.656035 0.1 0.1 0 0.1 0.1 3.43048 0.669692 0.1 0.687396 0 1.21671 0.1 0.1 0
0 0 0 0 0 0 0 0 0.05 0.05 0 0 0.05 0 0 0 0
2.32942 2.33479 2.31352 2.33479 2.34359 2.32899 2.31352 2.32032 2.32899 2.31352 2.32899 2.31352 2.34359 2.33479 2.32899 2.32942 1
1.27901 1.31989 1.31002 1.32504 1.17784 1.27463 1.28864 1.32504 1.13355 1.25481 1.28376 1.33219 1.11587 1.22302 1.28376 1.32504 1
5.96484 6.6798 6.2351 6.36786 6.2351 6.36786 6.2351 6.43961 6.36786 6.36786 6.6798 6.6798 6.43961 6.36786 6.36786 6.6798 1
2.55741 2.58886 2.60197 2.61385 2.60197 2.58886 2.58886 2.58886 2.55741 2.58886 2.58886 2.58886 2.60409 2.63681 2.63463 2.62112 1
1.85373 1.8577 1.85756 1.83713 1.8577 1.83713 1.83713 1.879 1.83713 1.83713 1.85756 1.85756 1.85756 1.8577 1.85756 1.85756 1
1.53091 1.53431 1.54375 1.53431 1.54375 1.53733 1.53714 1.51743 1.52405 1.54375 1.54375 1.51743 1.53674 1.53674 1.52405 1.51072 1
1.00068 1.00173 0.997712 1.00173 1.00173 1.00173 1.00173 0.999586 0.999586 1.00173 1.00173 0.99394 0.997712 1.00173 0.999586 0.997712 1
4.36817 4.3945 4.3945 4.3945 4.50301 4.36964 4.59076 4.3945 4.4672 4.36964 4.36817 4.3945 4.3945 4.4672 4.50301 4.50301 1
0.25 3.07353 0.1 0.25 0.15 0.25 0.25 0 1.4221 1.45153 1.46493 1.62621 1.43259 1.44557 1.45153 1.48491 0
1.7039 1.70651 1.70651 1.7039 1.69706 1.71416 1.7039 1.70651 1.72382 1.70651 1.72382 1.70651 1.71105 1.71698 1.70651 1.69706 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3.75548 3.72898 3.66564 3.66494 3.75548 3.66494 3.75548 3.75548 3.75548 3.75548 3.66494 3.66494 3.66494 3.66494 3.66494 3.62021 1
5.64926 5.5869 5.27223 5.27378 5.72348 5.57545 5.30101 5.40574 5.65877 5.47457 5.40574 5.20885 5.40574 5.23693 5.21036 5.05422 1
1.40269 1.40269 1.40986 1.40986 1.40986 1.40669 1.40269 1.40269 1.41016 1.40269 1.40269 1.40269 1.40269 1.41016 1.41016 1.40269 1
1.50208 1.49463 1.48806 1.48806 1.49205 1.50208 1.50208 1.50208 1.49205 1.50208 1.48806 1.50197 1.50607 1.50607 1.49205 1.50607 1
0 0 0 0 0 0 0 0 0 0.1 0 0 0 0.990736 0 0 0
0.758914 0.1 0.783123 0.677833 0 0 0.733481 0 0 0.1 0.808649 0.666105 1.45723 0.1 0.749667 0.76599 0
1.21729 1.21132 1.22044 1.21308 1.21308 1.20136 1.21308 1.21308 1.19446 1.21078 1.20828 1.21308 1.19094 1.19446 1.21308 1.21308 1
1.1388 1.13411 1.1369 1.13411 1.1388 1.1388 1.13407 1.13407 1.1388 1.13654 1.13407 1.1388 1.1369 1.13407 1.1369 1.13357 1
1.48852 1.48852 1.48852 1.49677 1.49438 1.49438 1.49677 1.49677 1.48887 1.49677 1.49438 1.48852 1.49438 1.48852 1.49677 1.48479 1
0 0 0 0 0 0 0 0 0 0 0 0 1.31041 0 0 0 0
