-15 -15 0.15
-15 -9 0.15
-15 -3 0.15
-15 3 0.15
-15 9 0.15
-15 15 0.15
-9 -15 0.553618
-9 -9 0.524881
-9 -3 0.53731
-9 3 0.539109
-9 9 0.540643
-9 15 0.540105
-3 -15 0.2
-3 -9 0.589095
-3 -3 0.562415
-3 3 0.575656
-3 9 0.598532
-3 15 0.25
3 -15 0.25
3 -9 0.25
3 -3 0.15
3 3 0.25
3 9 0.15
3 15 0.15
9 -15 0.2
9 -9 0.15
9 -3 0.25
9 3 0.25
9 9 0.15
9 15 0.15
15 -15 0.15
15 -9 0.15
15 -3 0.15
15 3 0.25
15 9 0.15
15 15 0.2
